iter	Logloss
0	0.6634570362
1	0.6343665541
2	0.6078506307
3	0.5836390145
4	0.5615160304
5	0.5412813692
6	0.5225604913
7	0.5067795918
8	0.491688018
9	0.4786618022
10	0.4660128638
11	0.4542271387
12	0.4435539703
13	0.4340409379
14	0.4250187595
15	0.4162059123
16	0.4085807339
17	0.4015285629
18	0.3948779178
19	0.3888293299
20	0.3829474516
21	0.3777492934
22	0.3727555713
23	0.3683472233
24	0.3640128161
25	0.3598808806
26	0.356173133
27	0.3525499491
28	0.3492048511
29	0.3470316064
30	0.3438972604
31	0.3411930876
32	0.3386271826
33	0.3359994761
34	0.3342886482
35	0.3319138447
36	0.3296555826
37	0.3276171076
38	0.3261412458
39	0.3240842256
40	0.3228091666
41	0.3213800419
42	0.3205707952
43	0.3191298949
44	0.3178873278
45	0.3169347648
46	0.3152344301
47	0.3134791444
48	0.312277759
49	0.3106723286
50	0.3099806225
51	0.3087690903
52	0.307779321
53	0.3070764084
54	0.3058107588
55	0.3049188404
56	0.3035247824
57	0.3026651904
58	0.3014796319
59	0.3007830848
60	0.2998996277
61	0.2993612783
62	0.2987929731
63	0.2974893376
64	0.2969467472
65	0.2958571673
66	0.2953403358
67	0.2945580273
68	0.2940511076
69	0.2932741387
70	0.2927784183
71	0.2922083942
72	0.2916960055
73	0.2910942244
74	0.2906219548
75	0.2899712706
76	0.289519901
77	0.2890993072
78	0.2883275914
79	0.2874833477
80	0.2870493145
81	0.2864332389
82	0.2857970659
83	0.2849155461
84	0.2843428351
85	0.2836664847
86	0.2831636854
87	0.282783708
88	0.2822587402
89	0.281732352
90	0.2811661266
91	0.2806911015
92	0.2804011645
93	0.2798133971
94	0.2792349743
95	0.278776102
96	0.2783973577
97	0.2779490801
98	0.27770414
99	0.277272283
100	0.2769027942
101	0.2765805136
102	0.2758861021
103	0.2753261713
104	0.2746315242
105	0.2743122006
106	0.2736578797
107	0.2732734932
108	0.2730227462
109	0.2726451231
110	0.2722320502
111	0.2719844378
112	0.2715820459
113	0.2710976981
114	0.2707674212
115	0.2703834232
116	0.2699830241
117	0.2698115049
118	0.2691666014
119	0.2687555539
120	0.268366136
121	0.2679445039
122	0.2676250198
123	0.2672776121
124	0.2667096499
125	0.2664527109
126	0.2662562282
127	0.2660125977
128	0.2657369937
129	0.2653929841
130	0.265048403
131	0.264805387
132	0.264434693
133	0.2640266472
134	0.2636597902
135	0.2634266793
136	0.2631001105
137	0.2628050459
138	0.2625030104
139	0.2621534298
140	0.2617966352
141	0.2614896159
142	0.261196926
143	0.2609708822
144	0.260473262
145	0.2603444598
146	0.2601927592
147	0.2598363857
148	0.2596551561
149	0.2592859557
150	0.258936949
151	0.2587244235
152	0.2585036499
153	0.2583475121
154	0.2579806248
155	0.2576204773
156	0.2574484997
157	0.2571608788
158	0.2569373425
159	0.2566679155
160	0.2562572408
161	0.2559821314
162	0.2557093005
163	0.2554454441
164	0.2550490079
165	0.2548797697
166	0.2545909948
167	0.2543413304
168	0.2541490624
169	0.2539211061
170	0.2536277689
171	0.2533410421
172	0.2530447317
173	0.2528383309
174	0.2526334324
175	0.252515691
176	0.2522020267
177	0.2517923094
178	0.2514855944
179	0.2513232872
180	0.2511481602
181	0.2510044653
182	0.2507056165
183	0.2501630183
184	0.2497128258
185	0.2494999591
186	0.2493789014
187	0.2491804174
188	0.2488796255
189	0.2485185545
190	0.2482848899
191	0.2480449306
192	0.2476552746
193	0.247447996
194	0.2471629872
195	0.2468512218
196	0.2466393054
197	0.2465038395
198	0.2461704869
199	0.2458786226
200	0.2454716741
201	0.2452537289
202	0.2449825888
203	0.2448154072
204	0.2446010675
205	0.2443845485
206	0.2440899436
207	0.2439771796
208	0.243740172
209	0.2435879294
210	0.2434242839
211	0.2431686759
212	0.2429934559
213	0.2428280018
214	0.2425911185
215	0.2423824179
216	0.2421539092
217	0.2419035479
218	0.2416143459
219	0.2413548288
220	0.2411387483
221	0.2408666829
222	0.2407042784
223	0.240619559
224	0.2403600171
225	0.2401832365
226	0.2400016361
227	0.2397833033
228	0.2396150887
229	0.239354553
230	0.2390975238
231	0.2388443649
232	0.2385363036
233	0.2382108614
234	0.2379289007
235	0.2376665202
236	0.2372706955
237	0.237135436
238	0.2369462791
239	0.2367595717
240	0.2365699519
241	0.236345587
242	0.2361413377
243	0.2357965351
244	0.2355101578
245	0.2353095384
246	0.2350727763
247	0.2349129109
248	0.234688279
249	0.2344877444
250	0.2343541934
251	0.2338882865
252	0.2336741774
253	0.2334145131
254	0.2331503999
255	0.2330191196
256	0.232832073
257	0.232708516
258	0.2321949885
259	0.2319864111
260	0.2317533383
261	0.2316406547
262	0.2312544472
263	0.2309931637
264	0.2308505175
265	0.2307065623
266	0.2305255352
267	0.2302680859
268	0.2301211132
269	0.2299316712
270	0.2296917058
271	0.2294457635
272	0.2292889737
273	0.2289862947
274	0.2288302054
275	0.2286008544
276	0.2284776195
277	0.2283151304
278	0.2281901741
279	0.2280810048
280	0.2278463563
281	0.2276288547
282	0.2275508408
283	0.2274191969
284	0.2271737091
285	0.2270326242
286	0.2268268084
287	0.2266516033
288	0.226513078
289	0.2263532916
290	0.2261071613
291	0.2258960751
292	0.2257516569
293	0.2255057867
294	0.2253619439
295	0.2252219426
296	0.2250996361
297	0.2248814008
298	0.2246234406
299	0.2244693361
300	0.2243349399
301	0.2241569947
302	0.2240888582
303	0.2239335925
304	0.2237420161
305	0.2235937266
306	0.2232985894
307	0.2229297365
308	0.2227771361
309	0.2226148241
310	0.2225234239
311	0.2222660541
312	0.2220388297
313	0.2218638131
314	0.2216463567
315	0.2214686671
316	0.2213090146
317	0.2212042147
318	0.2210044536
319	0.2208327183
320	0.2207118638
321	0.2204922088
322	0.2203621065
323	0.2202049955
324	0.2200440136
325	0.2199409395
326	0.2197911949
327	0.2196455891
328	0.2194623158
329	0.2193125468
330	0.2191533894
331	0.2189337734
332	0.2187669981
333	0.2186072408
334	0.2184041396
335	0.2181945159
336	0.2180103185
337	0.2178754644
338	0.2176795997
339	0.2175285117
340	0.2173268294
341	0.2171849762
342	0.2169394498
343	0.2167115422
344	0.2165985197
345	0.216409274
346	0.2160935582
347	0.2159198273
348	0.215709248
349	0.2155515075
350	0.2154251946
351	0.2152871902
352	0.2151613182
353	0.215021614
354	0.2148800782
355	0.2147639278
356	0.2143814089
357	0.2141805548
358	0.2140620716
359	0.2139563679
360	0.2137383533
361	0.2136072823
362	0.2135060058
363	0.2133597689
364	0.2132079698
365	0.2130748711
366	0.2128693458
367	0.2127423944
368	0.2125524981
369	0.2123742009
370	0.2122285822
371	0.2120903248
372	0.2118991048
373	0.2117769768
374	0.2116544929
375	0.2114753906
376	0.2113479018
377	0.2111614875
378	0.2110497063
379	0.2109022818
380	0.2108259892
381	0.2106692158
382	0.2104947875
383	0.2103087508
384	0.210182778
385	0.209910873
386	0.2097773451
387	0.2096529979
388	0.2094904949
389	0.2093504676
390	0.2091076635
391	0.2088990347
392	0.2087487677
393	0.2086564845
394	0.208362396
395	0.2081914886
396	0.208081748
397	0.2079162815
398	0.2078170118
399	0.2076705938
400	0.2073624122
401	0.2072199652
402	0.20711403
403	0.2069783456
404	0.2068159301
405	0.2066490127
406	0.2065565965
407	0.2064236415
408	0.2063589103
409	0.2061894436
410	0.2060325656
411	0.2058483357
412	0.2057469938
413	0.2056354857
414	0.2055432177
415	0.2053853346
416	0.2053227204
417	0.2052029619
418	0.2051157128
419	0.2049606887
420	0.204828433
421	0.2045478612
422	0.2043683851
423	0.2042922916
424	0.204141617
425	0.2040242379
426	0.2039622195
427	0.2038532717
428	0.203754146
429	0.2036172013
430	0.2035543012
431	0.2033981116
432	0.2032990719
433	0.2031082476
434	0.2028969192
435	0.2027608125
436	0.2025029077
437	0.2024268865
438	0.2021257052
439	0.2020100296
440	0.2017736721
441	0.2016959103
442	0.2016359083
443	0.2014298276
444	0.2013552261
445	0.2012537352
446	0.2011146755
447	0.2008663294
448	0.2006657175
449	0.2004888656
450	0.2003533077
451	0.20014048
452	0.1997178252
453	0.1995702976
454	0.1994844113
455	0.1993548998
456	0.1992529595
457	0.1991083225
458	0.1990321853
459	0.198971472
460	0.1989152607
461	0.1987840686
462	0.1986924671
463	0.1985523505
464	0.1984324032
465	0.1983198812
466	0.1982233657
467	0.1981057468
468	0.1980023419
469	0.1977883125
470	0.1976540996
471	0.1975995437
472	0.1974017323
473	0.1972956608
474	0.1971313271
475	0.1970459975
476	0.1969073666
477	0.1968071315
478	0.196643706
479	0.1964522538
480	0.1963303274
481	0.1962373079
482	0.1960008966
483	0.1958945984
484	0.195778046
485	0.1957052615
486	0.1956276471
487	0.1955188904
488	0.1953206209
489	0.19508772
490	0.1950023734
491	0.1949103968
492	0.1948047541
493	0.1947343231
494	0.194635665
495	0.1944997815
496	0.1944113615
497	0.1942355284
498	0.1941373412
499	0.1939551811
500	0.1938607531
501	0.1937479301
502	0.1936055164
503	0.1935483874
504	0.1934028992
505	0.1932813491
506	0.1930971595
507	0.1929835519
508	0.1929241315
509	0.1927934034
510	0.1926605194
511	0.1925509657
512	0.1924118797
513	0.1922322214
514	0.1921143953
515	0.1919754502
516	0.1918188749
517	0.1915692732
518	0.1914820633
519	0.1913408978
520	0.1911633065
521	0.1909124142
522	0.1908210171
523	0.1906389818
524	0.1905017943
525	0.1904210215
526	0.1903135115
527	0.1901093811
528	0.1899963138
529	0.1898987698
530	0.1897589196
531	0.1896353287
532	0.1895439058
533	0.1894120721
534	0.1892784748
535	0.189194049
536	0.1890802834
537	0.1889222666
538	0.1887901093
539	0.1886695817
540	0.1885866188
541	0.1883478532
542	0.1882611717
543	0.1881359814
544	0.1880924184
545	0.1880266854
546	0.1879280792
547	0.1878145073
548	0.1876906762
549	0.1875453333
550	0.1874849368
551	0.1874413245
552	0.1873584069
553	0.1871803856
554	0.1870613239
555	0.1869842492
556	0.1868617588
557	0.1866959909
558	0.1865344384
559	0.1864284887
560	0.1863097355
561	0.1862014369
562	0.1860872043
563	0.1860152862
564	0.1858696072
565	0.1856901283
566	0.1855954218
567	0.1854589512
568	0.1853624513
569	0.185187599
570	0.1851067758
571	0.1849829515
572	0.1848736397
573	0.1848226321
574	0.1847791844
575	0.1846380684
576	0.1845149985
577	0.1844061121
578	0.184314469
579	0.1841488289
580	0.1840454094
581	0.1838928261
582	0.1838313247
583	0.183719413
584	0.1836287709
585	0.183531066
586	0.1834316927
587	0.1833103908
588	0.1831950029
589	0.1831279497
590	0.1830446088
591	0.1829466915
592	0.1828366813
593	0.1827294135
594	0.1826508306
595	0.1825333753
596	0.1824620078
597	0.1823865889
598	0.1822091875
599	0.1820943441
600	0.1819202734
601	0.1818209105
602	0.1817113527
603	0.1816116073
604	0.1815212404
605	0.1814112158
606	0.1813442492
607	0.1812117932
608	0.1810638348
609	0.1809777424
610	0.1808631307
611	0.180726504
612	0.1805919001
613	0.180540759
614	0.1804337541
615	0.1803608311
616	0.1802557463
617	0.1801738717
618	0.1800743897
619	0.1799748955
620	0.1798867591
621	0.1797977781
622	0.1797310199
623	0.1796202733
624	0.1795415248
625	0.1794040888
626	0.1793103517
627	0.1792062758
628	0.1790805455
629	0.1789440657
630	0.1788464051
631	0.1787697389
632	0.178659621
633	0.1785557635
634	0.1784875299
635	0.1783985355
636	0.1782855553
637	0.1781611909
638	0.1780896107
639	0.1779794779
640	0.1778419041
641	0.1777414772
642	0.1776465684
643	0.1775279786
644	0.1774626282
645	0.177311827
646	0.1772547187
647	0.1771655582
648	0.1770547158
649	0.1769866742
650	0.1769103459
651	0.1768061015
652	0.1767206897
653	0.1765377152
654	0.1764774705
655	0.1763442121
656	0.1762324303
657	0.1761406185
658	0.1760565321
659	0.1759464846
660	0.175851391
661	0.1757300151
662	0.1756733974
663	0.1755798623
664	0.175459909
665	0.1753303407
666	0.1752365967
667	0.1750976306
668	0.1750040271
669	0.1749480887
670	0.1748394422
671	0.1748049777
672	0.1745909628
673	0.174443396
674	0.1743166928
675	0.1741473736
676	0.1741150713
677	0.1740633459
678	0.1739752438
679	0.1738782455
680	0.1737715373
681	0.1735897764
682	0.1734807675
683	0.1734078725
684	0.1733085425
685	0.1732041807
686	0.1731050541
687	0.1729580962
688	0.1728831777
689	0.1727024133
690	0.1726042764
691	0.1724472739
692	0.172318655
693	0.1722469648
694	0.1721293845
695	0.1720810834
696	0.1720144287
697	0.1719255956
698	0.171846823
699	0.1717824133
700	0.1716842242
701	0.1715502621
702	0.1714916598
703	0.1714090473
704	0.1713290496
705	0.1712214041
706	0.1711327924
707	0.1710428072
708	0.1709576732
709	0.1707916074
710	0.1706492615
711	0.1705161757
712	0.1703945234
713	0.1702978283
714	0.1702114592
715	0.1700791106
716	0.1699261385
717	0.1698793429
718	0.1698256958
719	0.1696806133
720	0.1696357202
721	0.1694617512
722	0.1693721803
723	0.1692796805
724	0.1691643505
725	0.1690597647
726	0.1689406896
727	0.1688720202
728	0.1688086941
729	0.1687261416
730	0.1686377522
731	0.1685605092
732	0.1685380699
733	0.1684192922
734	0.1683100942
735	0.1682572298
736	0.1680271576
737	0.1679491223
738	0.1679219938
739	0.16784782
740	0.1677140064
741	0.1675928428
742	0.1674834058
743	0.1673967902
744	0.1672981397
745	0.1671780106
746	0.1671038368
747	0.1670123792
748	0.1669707753
749	0.1669160499
750	0.1667985355
751	0.1667271614
752	0.1666742989
753	0.1666410628
754	0.1665383331
755	0.1664420918
756	0.1663482702
757	0.1662954028
758	0.1661647149
759	0.1660928717
760	0.1660228693
761	0.1659437223
762	0.1658622754
763	0.1657715427
764	0.1656350385
765	0.1655769497
766	0.1655065997
767	0.1654168065
768	0.1653393329
769	0.165262154
770	0.1651646371
771	0.1651229191
772	0.1650040244
773	0.1648906947
774	0.164830604
775	0.1647260205
776	0.1646248202
777	0.1645674603
778	0.1644605958
779	0.1643990199
780	0.1643028351
781	0.1641771887
782	0.1641333849
783	0.1640763091
784	0.1639996403
785	0.163945607
786	0.1638915441
787	0.1637837225
788	0.1636910991
789	0.163592366
790	0.1635531994
791	0.1634780175
792	0.1633536602
793	0.1633174079
794	0.1632366107
795	0.1631327726
796	0.1630363255
797	0.1629575312
798	0.1628714689
799	0.1628004101
800	0.1627349343
801	0.1626751078
802	0.1625929269
803	0.1625251718
804	0.1624436908
805	0.1623292133
806	0.1622625038
807	0.1621235426
808	0.1620611701
809	0.161959478
810	0.1618617891
811	0.1617829815
812	0.1616998541
813	0.1615673538
814	0.1614658458
815	0.1614125725
816	0.161327885
817	0.1612284346
818	0.1611106294
819	0.1609981619
820	0.1608535137
821	0.160765365
822	0.1606531269
823	0.160601213
824	0.160567176
825	0.1604576756
826	0.1603616503
827	0.1603010161
828	0.1602373813
829	0.160146092
830	0.1600884413
831	0.1599666844
832	0.1598617929
833	0.1598171923
834	0.1597438935
835	0.159659067
836	0.1596102291
837	0.1595285357
838	0.159460128
839	0.1594053624
840	0.159276186
841	0.1591620072
842	0.1591488118
843	0.1590386279
844	0.1589703921
845	0.1589260011
846	0.1588690112
847	0.1588086301
848	0.1587166599
849	0.158640282
850	0.1585637226
851	0.158484183
852	0.1583752313
853	0.1582802071
854	0.1582247299
855	0.1581432151
856	0.1580604226
857	0.1580083605
858	0.1579000602
859	0.1578634903
860	0.1577963689
861	0.1577107662
862	0.1576613997
863	0.1575582481
864	0.1574468655
865	0.1573643192
866	0.1573196162
867	0.1572556915
868	0.1571836039
869	0.1571201476
870	0.1570158485
871	0.1569647219
872	0.1567958476
873	0.1567370996
874	0.156613194
875	0.1565366237
876	0.1564780839
877	0.1564264501
878	0.1563780471
879	0.1562402529
880	0.156222331
881	0.1561305634
882	0.1560472254
883	0.1559771298
884	0.1559217552
885	0.1558683031
886	0.1557834994
887	0.1556919558
888	0.1555682776
889	0.1554558125
890	0.1554403065
891	0.15539052
892	0.1553390601
893	0.1552334125
894	0.1551747242
895	0.1550704127
896	0.1550124027
897	0.1549380382
898	0.1549294364
899	0.154814087
900	0.1547201328
901	0.1546625099
902	0.1546088671
903	0.1544836363
904	0.1544196269
905	0.1543729541
906	0.1543006295
907	0.1542602963
908	0.1541975638
909	0.1541538983
910	0.1540691703
911	0.1540332285
912	0.1539718473
913	0.1538922064
914	0.1538014714
915	0.1537615882
916	0.15365074
917	0.1535875992
918	0.1534735369
919	0.1534300301
920	0.1533475893
921	0.1532936786
922	0.1532355758
923	0.15319159
924	0.1531400516
925	0.1530340658
926	0.1529542252
927	0.1528669955
928	0.1527853927
929	0.1527370254
930	0.1526444949
931	0.1526077047
932	0.1525292303
933	0.1524259217
934	0.1523290814
935	0.1522450188
936	0.1522160743
937	0.1521345251
938	0.1520711405
939	0.1519932983
940	0.1519445376
941	0.1518944297
942	0.1518381073
943	0.1517662212
944	0.1516684496
945	0.1516208143
946	0.1515720606
947	0.1514968419
948	0.1514603718
949	0.1514108422
950	0.1512528582
951	0.1511507725
952	0.151079515
953	0.1510213655
954	0.1509622916
955	0.1509239756
956	0.1508380322
957	0.1507878011
958	0.1507426997
959	0.1506805634
960	0.1506337939
961	0.1505651677
962	0.1505153803
963	0.1504596091
964	0.1503699937
965	0.1503280308
966	0.1502524999
967	0.150148883
968	0.1500471949
969	0.1499289299
970	0.1498782829
971	0.1497953019
972	0.1497375619
973	0.1496492638
974	0.1495984952
975	0.1495289566
976	0.1494803874
977	0.1494151781
978	0.1493351703
979	0.1492716461
980	0.1492091889
981	0.149139034
982	0.1491009549
983	0.1490037824
984	0.1489501361
985	0.1488839637
986	0.1488368365
987	0.1487580306
988	0.1487125583
989	0.1486621308
990	0.1485740222
991	0.1484961643
992	0.1484308594
993	0.1483755315
994	0.1483062539
995	0.1482291428
996	0.1481708995
997	0.1480893136
998	0.1479759253
999	0.1478932416
