iter	Passed	Remaining
0	9	9741
1	21	10790
2	33	11238
3	43	10906
4	53	10669
5	62	10381
6	71	10155
7	80	10043
8	89	9878
9	99	9836
10	109	9812
11	118	9722
12	128	9771
13	137	9710
14	147	9657
15	155	9569
16	164	9491
17	173	9457
18	181	9374
19	191	9370
20	199	9306
21	209	9297
22	218	9264
23	229	9336
24	240	9364
25	248	9314
26	259	9354
27	267	9294
28	276	9258
29	285	9238
30	295	9245
31	305	9254
32	315	9234
33	327	9302
34	336	9286
35	345	9264
36	355	9246
37	363	9212
38	373	9205
39	383	9197
40	391	9146
41	400	9132
42	408	9100
43	419	9104
44	426	9059
45	435	9026
46	443	8982
47	452	8980
48	461	8953
49	471	8957
50	481	8958
51	491	8963
52	501	8952
53	509	8927
54	520	8944
55	530	8940
56	539	8922
57	548	8907
58	556	8870
59	564	8844
60	572	8818
61	582	8813
62	593	8829
63	602	8814
64	612	8812
65	620	8780
66	632	8801
67	640	8773
68	650	8774
69	659	8759
70	667	8739
71	677	8731
72	685	8703
73	696	8714
74	706	8713
75	714	8689
76	725	8696
77	734	8685
78	746	8697
79	755	8690
80	765	8680
81	774	8672
82	782	8646
83	791	8628
84	798	8596
85	807	8581
86	814	8549
87	823	8533
88	830	8504
89	839	8489
90	847	8465
91	856	8451
92	863	8424
93	873	8415
94	881	8395
95	890	8389
96	898	8364
97	907	8350
98	915	8328
99	924	8317
100	933	8306
101	941	8285
102	951	8285
103	959	8265
104	969	8260
105	979	8257
106	990	8266
107	1001	8267
108	1011	8265
109	1022	8271
110	1031	8257
111	1039	8245
112	1049	8241
113	1058	8225
114	1067	8217
115	1077	8207
116	1084	8187
117	1094	8182
118	1103	8169
119	1114	8173
120	1125	8176
121	1133	8156
122	1142	8148
123	1151	8133
124	1160	8126
125	1168	8107
126	1180	8115
127	1192	8126
128	1202	8119
129	1213	8124
130	1224	8120
131	1231	8098
132	1240	8087
133	1248	8065
134	1257	8058
135	1266	8042
136	1275	8035
137	1284	8025
138	1292	8007
139	1303	8010
140	1311	7990
141	1321	7985
142	1329	7966
143	1338	7956
144	1346	7941
145	1355	7931
146	1364	7915
147	1372	7902
148	1381	7891
149	1390	7878
150	1398	7864
151	1408	7857
152	1419	7858
153	1429	7850
154	1438	7844
155	1449	7842
156	1457	7827
157	1468	7826
158	1476	7808
159	1485	7798
160	1494	7790
161	1504	7782
162	1514	7777
163	1523	7766
164	1533	7760
165	1542	7751
166	1552	7744
167	1563	7742
168	1572	7733
169	1584	7736
170	1594	7730
171	1602	7713
172	1611	7701
173	1618	7684
174	1627	7673
175	1635	7657
176	1644	7644
177	1652	7631
178	1662	7623
179	1670	7608
180	1679	7598
181	1687	7586
182	1696	7574
183	1707	7573
184	1715	7558
185	1725	7553
186	1734	7539
187	1743	7530
188	1752	7520
189	1760	7507
190	1769	7494
191	1779	7487
192	1790	7488
193	1801	7483
194	1810	7474
195	1821	7470
196	1829	7456
197	1840	7452
198	1847	7435
199	1857	7429
200	1865	7416
201	1876	7414
202	1889	7417
203	1896	7401
204	1908	7401
205	1920	7404
206	1930	7396
207	1941	7390
208	1952	7391
209	1960	7377
210	1972	7375
211	1979	7359
212	1989	7350
213	1997	7336
214	2006	7324
215	2016	7317
216	2024	7303
217	2034	7299
218	2042	7285
219	2054	7282
220	2064	7275
221	2072	7262
222	2083	7259
223	2092	7247
224	2101	7239
225	2111	7232
226	2120	7220
227	2131	7215
228	2139	7202
229	2149	7196
230	2157	7181
231	2167	7175
232	2179	7173
233	2187	7160
234	2199	7160
235	2212	7161
236	2220	7149
237	2231	7144
238	2240	7133
239	2248	7120
240	2259	7115
241	2266	7100
242	2290	7135
243	2298	7121
244	2310	7118
245	2318	7105
246	2329	7100
247	2339	7095
248	2348	7084
249	2358	7074
250	2368	7068
251	2376	7055
252	2386	7047
253	2393	7030
254	2403	7022
255	2410	7006
256	2420	6996
257	2427	6980
258	2436	6972
259	2444	6957
260	2454	6948
261	2463	6938
262	2471	6925
263	2482	6920
264	2489	6906
265	2500	6898
266	2507	6883
267	2518	6878
268	2529	6873
269	2537	6860
270	2546	6850
271	2554	6836
272	2563	6825
273	2570	6810
274	2578	6796
275	2585	6781
276	2592	6767
277	2599	6751
278	2607	6737
279	2614	6722
280	2621	6707
281	2628	6692
282	2635	6677
283	2642	6662
284	2649	6647
285	2657	6633
286	2665	6621
287	2674	6612
288	2681	6597
289	2689	6584
290	2696	6570
291	2704	6556
292	2710	6540
293	2717	6526
294	2725	6513
295	2732	6498
296	2740	6487
297	2747	6472
298	2755	6459
299	2761	6444
300	2768	6430
301	2775	6415
302	2782	6401
303	2789	6387
304	2796	6372
305	2804	6360
306	2811	6346
307	2819	6334
308	2826	6320
309	2833	6307
310	2840	6293
311	2848	6280
312	2854	6266
313	2862	6253
314	2869	6241
315	2876	6227
316	2884	6213
317	2891	6201
318	2898	6187
319	2905	6173
320	2912	6160
321	2919	6148
322	2927	6135
323	2935	6123
324	2941	6109
325	2949	6098
326	2956	6084
327	2963	6071
328	2970	6058
329	2978	6046
330	2985	6033
331	2992	6021
332	2999	6008
333	3006	5995
334	3014	5983
335	3021	5970
336	3028	5958
337	3035	5945
338	3043	5934
339	3049	5920
340	3057	5908
341	3063	5894
342	3070	5882
343	3078	5871
344	3085	5858
345	3092	5846
346	3099	5833
347	3107	5821
348	3114	5810
349	3123	5800
350	3130	5788
351	3139	5779
352	3146	5767
353	3197	5835
354	3214	5840
355	3222	5829
356	3230	5817
357	3237	5805
358	3244	5792
359	3250	5779
360	3258	5767
361	3265	5755
362	3274	5745
363	3282	5735
364	3291	5726
365	3298	5714
366	3306	5703
367	3314	5691
368	3322	5681
369	3330	5670
370	3340	5663
371	3347	5651
372	3357	5644
373	3368	5637
374	3377	5629
375	3386	5620
376	3394	5609
377	3403	5600
378	3410	5588
379	3418	5578
380	3426	5567
381	3437	5561
382	3445	5550
383	3454	5542
384	3463	5531
385	3472	5523
386	3480	5512
387	3488	5503
388	3497	5493
389	3506	5484
390	3515	5475
391	3523	5465
392	3534	5458
393	3543	5449
394	3552	5441
395	3562	5433
396	3570	5422
397	3579	5414
398	3587	5403
399	3596	5395
400	3604	5384
401	3613	5375
402	3620	5364
403	3631	5356
404	3638	5345
405	3649	5338
406	3658	5330
407	3666	5319
408	3676	5311
409	3683	5300
410	3692	5292
